2026-05-13T03:30:11.633284 | loop end - sleeping
2026-05-13T03:30:11.633284 | sleeping until next candle
2026-05-13T04:00:05.643342 | loop start
2026-05-13T04:00:15.132761 | TwelveData OK - 227 rows
2026-05-13T04:00:15.165882 | TwelveData fetch completed
2026-05-13T04:00:16.561493 | Binance fetch complete
2026-05-13T04:00:16.601462 | Data ready - 227 rows, last=2026-05-13 03:30:00+05:30
2026-05-13T04:00:16.603459 | data fetched price=80637.40
2026-05-13T04:00:16.603459 | no signal
2026-05-13T04:00:16.604775 | loop end - sleeping
2026-05-13T04:00:16.604775 | sleeping until next candle
2026-05-13T04:30:05.613068 | loop start
2026-05-13T04:30:09.826236 | TwelveData OK - 227 rows
2026-05-13T04:30:09.842348 | TwelveData fetch completed
2026-05-13T04:30:11.290746 | Binance fetch complete
2026-05-13T04:30:11.336150 | Data ready - 227 rows, last=2026-05-13 04:00:00+05:30
2026-05-13T04:30:11.338395 | data fetched price=80639.99
2026-05-13T04:30:11.339339 | no signal
2026-05-13T04:30:11.339339 | loop end - sleeping
2026-05-13T04:30:11.340335 | sleeping until next candle
2026-05-13T05:00:05.350731 | loop start
2026-05-13T05:00:05.936446 | TwelveData OK - 227 rows
2026-05-13T05:00:05.948809 | TwelveData fetch completed
2026-05-13T05:00:07.422220 | Binance fetch complete
2026-05-13T05:00:07.443413 | Data ready - 227 rows, last=2026-05-13 04:30:00+05:30
2026-05-13T05:00:07.444605 | data fetched price=80638.99
2026-05-13T05:00:07.445617 | no signal
2026-05-13T05:00:07.446614 | loop end - sleeping
2026-05-13T05:00:07.446614 | sleeping until next candle
2026-05-13T05:30:05.461516 | loop start
2026-05-13T05:30:06.186126 | TwelveData OK - 227 rows
2026-05-13T05:30:06.216067 | TwelveData fetch completed
2026-05-13T05:30:07.068136 | Binance fetch complete
2026-05-13T05:30:07.110642 | Data ready - 227 rows, last=2026-05-13 05:00:00+05:30
2026-05-13T05:30:07.112646 | data fetched price=80484.72
2026-05-13T05:30:07.113642 | no signal
2026-05-13T05:30:07.113642 | loop end - sleeping
2026-05-13T05:30:07.114643 | sleeping until next candle
2026-05-13T06:00:05.126954 | loop start
2026-05-13T06:00:05.723009 | TwelveData OK - 228 rows
2026-05-13T06:00:05.777803 | TwelveData fetch completed
2026-05-13T06:00:06.694313 | Binance fetch complete
2026-05-13T06:00:06.737284 | Data ready - 228 rows, last=2026-05-13 06:00:00+05:30
2026-05-13T06:00:06.738598 | data fetched price=80671.56
2026-05-13T06:00:06.739598 | no signal
2026-05-13T06:00:06.739598 | loop end - sleeping
2026-05-13T06:00:06.739598 | sleeping until next candle
2026-05-13T06:30:05.760868 | loop start
2026-05-13T06:30:06.538802 | TwelveData OK - 227 rows
2026-05-13T06:30:06.573220 | TwelveData fetch completed
2026-05-13T06:30:07.307726 | Binance fetch complete
2026-05-13T06:30:07.345721 | Data ready - 227 rows, last=2026-05-13 06:00:00+05:30
2026-05-13T06:30:07.347735 | data fetched price=80698.00
2026-05-13T06:30:07.347735 | no signal
2026-05-13T06:30:07.348738 | loop end - sleeping
2026-05-13T06:30:07.348738 | sleeping until next candle
2026-05-13T07:00:05.363453 | loop start
2026-05-13T07:00:05.989682 | TwelveData OK - 228 rows
2026-05-13T07:00:06.026178 | TwelveData fetch completed
2026-05-13T07:00:06.825773 | Binance fetch complete
2026-05-13T07:00:06.869000 | Data ready - 228 rows, last=2026-05-13 06:30:00+05:30
2026-05-13T07:00:06.870999 | data fetched price=81045.01
2026-05-13T07:00:06.870999 | no signal
2026-05-13T07:00:06.872001 | loop end - sleeping
2026-05-13T07:00:06.873003 | sleeping until next candle
2026-05-13T07:30:05.883401 | loop start
2026-05-13T07:30:06.662750 | TwelveData OK - 229 rows
2026-05-13T07:30:06.713738 | TwelveData fetch completed
2026-05-13T07:30:07.549032 | Binance fetch complete
