,datetime,open,high,low,close
1056,2025-12-24 05:30:00,87429.32,87775,86801.72,87278.1
1057,2025-12-24 09:30:00,87278.1,87407.51,86717.72,86843.96
1058,2025-12-24 13:30:00,86843.97,87300,86653.99,87144.36
1059,2025-12-24 17:30:00,87144.36,87436.16,86350,86978.71
1060,2025-12-24 21:30:00,86980.02,87617.19,86843.99,87498.87
1061,2025-12-25 01:30:00,87498.85,88001.2,87458.91,87609.03
1062,2025-12-25 05:30:00,87609.02,87908.71,87447.05,87782.85
1063,2025-12-25 09:30:00,87782.85,87811.46,87592.28,87774.01
1064,2025-12-25 13:30:00,87778.25,87842.78,87193.64,87459.42
1065,2025-12-25 17:30:00,87461.97,88534.4,87338.44,88313.03
1066,2025-12-25 21:30:00,88316.01,88426.38,87928.12,88091.64
1067,2025-12-26 01:30:00,88091.64,88115.56,86899,87171.68
1068,2025-12-26 05:30:00,87171.46,89354.87,86829,88752
1069,2025-12-26 09:30:00,88758,89496.07,88271.48,88377.39
1070,2025-12-26 13:30:00,88377.39,88855.77,88329.28,88471.93
1071,2025-12-26 17:30:00,88470.02,89004.01,86569.53,87060.01
1072,2025-12-26 21:30:00,87065.04,87495.42,86716.31,87421.94
1073,2025-12-27 01:30:00,87421.95,87715,87241.96,87296.01
1074,2025-12-27 05:30:00,87296.17,87485.99,86944.24,87449.67
1075,2025-12-27 09:30:00,87449.67,87644.16,87347.26,87470.54
1076,2025-12-27 13:30:00,87470.54,87618.56,87310.16,87422.73
1077,2025-12-27 17:30:00,87422.73,87541.96,87262,87503.85
1078,2025-12-27 21:30:00,87503.87,87549.99,87300,87518.98
1079,2025-12-28 01:30:00,87518.97,87914.62,87436.54,87808
1080,2025-12-28 05:30:00,87806.75,87889.49,87639.65,87664.71
1081,2025-12-28 09:30:00,87664.71,87767.04,87538.25,87668.32
1082,2025-12-28 13:30:00,87668.33,87943.02,87650,87821.17
1083,2025-12-28 17:30:00,87821.17,88000,87712.13,87770.32
1084,2025-12-28 21:30:00,87770.32,87865.99,87424.38,87449.26
1085,2025-12-29 01:30:00,87449.26,87977.38,87349.52,87877.29
1086,2025-12-29 05:30:00,87877.28,90071.04,87712.2,90018.79
1087,2025-12-29 09:30:00,90014.07,90325,89385.4,89502.71
1088,2025-12-29 13:30:00,89502.71,89719,87443.65,87448.83
1089,2025-12-29 17:30:00,87448.82,88109.96,86675,87577.99
1090,2025-12-29 21:30:00,87577.99,87910.89,87204.12,87243.73
1091,2025-12-30 01:30:00,87243.73,87488.4,86935.8,87110.78
1092,2025-12-30 05:30:00,87110.77,87315.4,86704.98,87259.68
1093,2025-12-30 09:30:00,87259.69,87499.99,87031.98,87380.7
1094,2025-12-30 13:30:00,87380.71,88109.31,87371.98,87791.99
1095,2025-12-30 17:30:00,87791.98,89066.24,87716.6,88954.99
1096,2025-12-30 21:30:00,88957.09,89343.52,87876.72,88145.74
1097,2025-12-31 01:30:00,88145.74,88498.15,87780.82,88397.5
1098,2025-12-31 05:30:00,88397.24,88715.75,88068.44,88344.71
1099,2025-12-31 09:30:00,88344.72,88528.2,88217.01,88503.98
1100,2025-12-31 13:30:00,88503.97,88937.01,88285.55,88906.29
1101,2025-12-31 17:30:00,88906.28,89100,87654.46,87837.8
1102,2025-12-31 21:30:00,87830.03,87932.17,87259.01,87391.02
1103,2026-01-01 01:30:00,87391.02,87739.29,87082.64,87497.94
1104,2026-01-01 05:30:00,87497.95,87950.53,87456.1,87696.53
1105,2026-01-01 09:30:00,87696.53,87704,87361.74,87471.99
1106,2026-01-01 13:30:00,87471.98,87889.19,87466.37,87883.74
1107,2026-01-01 17:30:00,87883.75,88000,87694.66,87915.23
1108,2026-01-01 21:30:00,87915.24,88398,87761.06,88275.99
1109,2026-01-02 01:30:00,88276,88798.99,88126.82,88738.34
1110,2026-01-02 05:30:00,88742,89024.49,88272.08,88840.02
1111,2026-01-02 09:30:00,88840.02,88978.22,88458.5,88758.22
1112,2026-01-02 13:30:00,88758.23,89831.42,88673.49,89411.99
1113,2026-01-02 17:30:00,89411.98,90100,88375,89352.02
1114,2026-01-02 21:30:00,89352.03,90935.22,88761,89844.04
1115,2026-01-03 01:30:00,89854,90412.81,89573.04,89957.99
1116,2026-01-03 05:30:00,89958,90389.99,89917.21,90293.58
1117,2026-01-03 09:30:00,90293.58,90465,89284.13,89545.64
1118,2026-01-03 13:30:00,89545.64,89954.71,89386.65,89700.01
1119,2026-01-03 17:30:00,89700.01,90189.72,89607.59,89921.79
1120,2026-01-03 21:30:00,89926,90176.4,89868.59,90080.13
1121,2026-01-04 01:30:00,90080.13,90697,89974,90598.02
1122,2026-01-04 05:30:00,90598.01,91568.08,90598.01,91193.98
1123,2026-01-04 09:30:00,91193.98,91764.64,91152,91490.83
1124,2026-01-04 13:30:00,91490.82,91580.78,91127.4,91274
1125,2026-01-04 17:30:00,91269.08,91386.28,91000,91291.42
1126,2026-01-04 21:30:00,91291.42,91419.12,90827.3,91101.9
1127,2026-01-05 01:30:00,91101.89,91563.62,91088.88,91494
1128,2026-01-05 05:30:00,91489.03,93343.89,91479.28,92841.41
1129,2026-01-05 09:30:00,92841.41,92945.24,92100.88,92478.02
1130,2026-01-05 13:30:00,92478.03,93127.36,92274,93094
1131,2026-01-05 17:30:00,93094.01,93999.99,92338,93947.6
1132,2026-01-05 21:30:00,93947.6,94529.99,93242.97,94296.02
1133,2026-01-06 01:30:00,94296.02,94825.27,93809.4,93870.06
1134,2026-01-06 05:30:00,93870.06,94175.38,93520.01,93747.38
1135,2026-01-06 09:30:00,93747.38,94000,93100.01,93212.74
1136,2026-01-06 13:30:00,93212.74,93881.51,93134.94,93830
1137,2026-01-06 17:30:00,93830.01,94439.63,93305.06,93621.84
1138,2026-01-06 21:30:00,93621.84,93754.35,91203.13,92040.91
1139,2026-01-07 01:30:00,92040.91,93793.92,92040.91,93722.01
1140,2026-01-07 05:30:00,93722.01,93722.01,92181.99,92760.01
1141,2026-01-07 09:30:00,92760.02,92890.58,92440.81,92822.38
1142,2026-01-07 13:30:00,92822.38,92917.2,91518.63,92013.08
1143,2026-01-07 17:30:00,92007.2,92209.68,90924.85,91258.01
1144,2026-01-07 21:30:00,91264,91715.99,90576.24,91065.29
1145,2026-01-08 01:30:00,91075.41,91391.3,90653.83,91279.73
1146,2026-01-08 05:30:00,91279.73,91580.01,90500.76,90702
1147,2026-01-08 09:30:00,90702,91080,89515.78,90408
1148,2026-01-08 13:30:00,90415.5,90657.7,89656.5,90097.8
1149,2026-01-08 17:30:00,90097.8,90766.14,89200,90690
1150,2026-01-08 21:30:00,90690.02,91403.97,90193.01,90856.97
1151,2026-01-09 01:30:00,90856.96,91425,90481.66,91026
