,datetime,open,high,low,close
178,2026-01-30 17:30:00,83004.91,83673.24,82235.01,82740.33
179,2026-01-30 21:30:00,82740.33,84509.2,81722.33,84115
180,2026-01-31 01:30:00,84115.01,84355.99,83381.23,84110.99
181,2026-01-31 05:30:00,84110.99,84138,83648.79,83868.88
182,2026-01-31 09:30:00,83868.89,83992.41,83240,83391.37
183,2026-01-31 13:30:00,83391.37,83477.55,82420.21,82866.23
184,2026-01-31 17:30:00,82866.25,83000,80705.67,81168
185,2026-01-31 21:30:00,81174.71,82055.36,75644.15,77656.14
186,2026-02-01 01:30:00,77646.5,79135.99,76970.41,78648
187,2026-02-01 05:30:00,78648,79337.99,78210.04,78785.69
188,2026-02-01 09:30:00,78785.69,79039.07,77875,78269.98
189,2026-02-01 13:30:00,78269.97,79158.06,78066.6,78688.99
190,2026-02-01 17:30:00,78689,78705.07,76717,77532.55
191,2026-02-01 21:30:00,77532.55,78367,76892.17,77092
192,2026-02-02 01:30:00,77092,77698,75612.75,76895.53
193,2026-02-02 05:30:00,76895.99,78113.54,74502.21,76211.71
194,2026-02-02 09:30:00,76212.4,76866.37,74825.08,76560
195,2026-02-02 13:30:00,76559.99,77893.65,76523.09,77679
196,2026-02-02 17:30:00,77679,79339,77501.59,78833.37
197,2026-02-02 21:30:00,78833.38,79270.68,78212.67,78280.98
198,2026-02-03 01:30:00,78269.52,78906.23,77827.19,78666.85
199,2026-02-03 05:30:00,78666.84,79123.75,77576.42,78684
200,2026-02-03 09:30:00,78680.32,78926.19,77874.46,78712.02
201,2026-02-03 13:30:00,78712.02,79005.95,77861.5,78000
202,2026-02-03 17:30:00,78000,78374.59,76975.06,78064.01
203,2026-02-03 21:30:00,78064.01,78074.01,72859,74846
204,2026-02-04 01:30:00,74842,76865.28,74484,75661.49
205,2026-02-04 05:30:00,75661.49,76876.54,75355.15,76611.34
206,2026-02-04 09:30:00,76611.34,76731.09,76005.53,76415.01
207,2026-02-04 13:30:00,76415,76500,75530.21,75898.83
208,2026-02-04 17:30:00,75901.46,76163.81,73431.08,74015.35
209,2026-02-04 21:30:00,74015.36,74118.24,72010,73757.15
210,2026-02-05 01:30:00,73756.99,73980.03,71703.72,72998
211,2026-02-05 05:30:00,72999,73173.96,71002.22,71081.55
212,2026-02-05 09:30:00,71085.99,71494.37,70002.53,70584.8
213,2026-02-05 13:30:00,70584.8,71840.07,69802.32,70195.21
214,2026-02-05 17:30:00,70195.21,70784.93,66555,67368.96
215,2026-02-05 21:30:00,67370,68547.52,65046.6,65119.05
216,2026-02-06 01:30:00,65119.04,65567.05,62181.65,62791
217,2026-02-06 05:30:00,62788.28,65934.81,60001,64081.99
218,2026-02-06 09:30:00,64080.81,66725.76,63866.32,64760.64
219,2026-02-06 13:30:00,64760.03,66676.63,64383.38,66546.03
220,2026-02-06 17:30:00,66546.02,69175.29,66017.6,68643.99
221,2026-02-06 21:30:00,68641.33,71496.34,68427.38,70668.79
222,2026-02-07 01:30:00,70663.73,71707.18,69785.35,70527.7
223,2026-02-07 05:30:00,70521.08,70890.59,69676.55,70881.7
224,2026-02-07 09:30:00,70880.37,71648.05,67293.26,68056.88
225,2026-02-07 13:30:00,68055.02,68783.1,67557.65,67917.39
226,2026-02-07 17:30:00,67916.43,69919.25,67855.99,69088.12
227,2026-02-07 21:30:00,69088.13,69830.52,68526.98,69318.18
228,2026-02-08 01:30:00,69318.18,69681.62,68735.64,69244.74
229,2026-02-08 05:30:00,69250,69657.46,68840.83,69047.16
230,2026-02-08 09:30:00,69047.16,69657,68913.52,69650.96
